"Category: ""All Commands""; Filter: """""
ID,Title,Description,Shortcut,"Shortcut 2"
cmd.window.removeSplit,"Remove Split","Remove the window split.",,
cmd.rename,Rename,"Rename the selected item.",F2,
cmd.tool.editFields.renameField,"Rename Field...",,,
cmd.renameDoc,Rename...,"Changes document's file name to the specified one. Note that the document will be saved beforehand.",,
cmd.reopenJustClosedDoc,"Reopen Recently Closed Document","Reopens previously closed document.",Ctrl+Shift+W,
cmd.overlay.repeatText,"Repeat Overlay Text","Set this flag to specify that the Overlay Text should be repeated, to fill the redacted region, after the affected content has been removed.
",,
cmd.replaceImage,"Replace Image...","Replace the current image with given source image.",,
cmd.document.replacePages,"Replace Pages...","Replace pages within the active document with pages from another document.",,
cmd.help.report,"Report a Problem...","Open the Report a Problem dialog.
This allows for detailed problem reports to be sent, in the event an issue, with the application, is encountered.",,
cmd.window.resetDocPanesLayout,"Reset Document Panes Layout","Restore the layout of all panes, in the document, to their default states.",,
cmd.forms.reset,"Reset Form","Removes all data entered into all form fields.",,
cmd.window.resetMainPanesLayout,"Reset Main Panes Layout","Restore the layout of all global panes to their default states.",,
cmd.annot.popup.resetLocation,"Reset Pop-Up Note Location","Reset pop-up note location of the selected annotation.",,
cmd.settings.reset,"Reset Settings...","Reset application settings to defaults.",,
cmd.layersView.resetOverrides,"Reset to Initial Visibility","Reset the layer overrides, without modifying the document.",,
cmd.document.resizePages,"Resize Pages...","Resize pages in the active document.",,
cmd.annot.line.restoreCaption,"Restore Caption Placement","Return caption to its former placement.",,
cmd.revert,Revert,"Revert the active document to its original state.",,
cmd.view.layout.ribbon,"Ribbon Layout","Show pages in left-to-right order.",,
cmd.textDirection.RTL,"Right to Left","Set Right to Left text direction.",,
cmd.view.layout.r2l,"Right-to-Left Page Layout","Pages in Two Pages modes will use a right to left (RTL) layout.",,
cmd.object.rotate180,"Rotate 180°","Rotate the selected annotation(s), or content item(s) by 180 degrees.",,
cmd.object.rotate90CCW,"Rotate 90° CCW","Rotate counterclockwise the selected annotation(s), or content item(s) by 90 degrees.",,
cmd.object.rotate90CW,"Rotate 90° CW","Rotate clockwise the selected annotation(s), or content item(s) by 90 degrees.",,
cmd.view.rotate.CCW,"Rotate CCW","Rotate the current view counterclockwise
Note: this function rotates pages temporarily, without modifying the document.
","Ctrl+Shift+""Num -""",
cmd.view.rotate.CW,"Rotate CW","Rotate the current view clockwise
Note: this function rotates pages temporarily, without modifying the document.
","Ctrl+Shift+""Num +""",
cmd.document.rotatePages.180,"Rotate Pages 180°","Rotate the selected pages 180 degrees.",,
cmd.document.rotatePages.ccw,"Rotate Pages CCW 90°","Rotate the selected pages 90 degrees counterclockwise.",,
cmd.document.rotatePages.cw,"Rotate Pages CW 90°","Rotate the selected pages 90 degrees clockwise.",,
cmd.document.rotatePages,"Rotate Pages...","Rotate pages in the active document.",Ctrl+Shift+R,
cmd.view.toolbar.rotateview,"Rotate View Toolbar","Show/Hide the Rotate View toolbar.
",,
cmd.jsConsole.run,Run,"Runs the entire script written in console window.",Ctrl+Enter,
cmd.jsConsole.runSelect,"Run Selection","Runs only the portioon of the script that has been selected.",Ctrl+Shift+Enter,
cmd.sanitize.document,"Sanitize Document","Removes sensitive information, such as metadata, form data, invisible contents...",,
cmd.save,Save,"Save the active document.",Ctrl+S,
cmd.saveAll,"Save All","Save all modified documents.",,
cmd.saveUnrestricted,"Save As Not Restricted...","Save an unrestricted copy of the document.",,
cmd.saveAs,"Save As...","Save the active document with a new name, or to a new location.",Ctrl+Shift+S,
cmd.attachmentsView.save,"Save Attachments","Save selected attachments to an external file.",,
cmd.saveCopyAs,"Save Copy As...","Save a copy of the active document.",,
cmd.saveCurrentSessionToFile,"Save Current Session to a File...",,,
cmd.saveCurrentSession,"Save Current Session...",,,
cmd.saveImage,"Save Image As...","Save the current image to an external file.",,
cmd.pdfopt.pages,"Save as Optimized...","Saves an active document as optimized to reduce size and decrease the opening time.",,
cmd.measureEdit,Scale,"Set the scale of the selected object.",,
cmd.view.search,"Search Pane","Show/Hide the Search pane.
The Search pane provides advanced search features, such as multiple document searches, searching for multiple words, etc..
",Ctrl+Alt+F,
cmd.search,Search...,"Open the advanced search pane.",Ctrl+Shift+F,
cmd.securityPolicies,"Security Policies","Manage security policies list.",,
cmd.document.security,"Security Properties",,,
cmd.bookmarksView.pages.select,Select,"Select pages that the selected bookmarks and their children point to.",,
cmd.bookmarksView.sections.select,Select,"Select pages range that starts from pages that the selected bookmarks and their children point to and ends before the page that the next bookmark in hierarchy points to.",,
cmd.selectAll,"Select All",,Ctrl+A,
cmd.snapshot.selectAll,"Select All","Select the whole page.",,
cmd.view.portfolio.selectAll,"Select All","Select all items in the Portfolio.",,
cmd.tool.editAnnots,"Select Comments","Select, move, resize and edit comments. More than one comment at a time can be selected.",,
cmd.selectPages,"Select Correspondent Thumbnails","Select thumbnails with currently selected items.",,
cmd.tool.editFields.mode.select,"Select Fields","Click on a form field, to select it.",,
cmd.tool.selectText,"Select Text","Drag or marquee select base content text.",,
cmd.tool.hand.selTextImages,"Select Text/Images","Use this option to be able to select text or images using the Hand tool.
",,
cmd.order.moveBackward,"Send Backward","Move the selected object backward.",,
cmd.sendByEmailZip,"Send by E-mail as ZIP...","Email a copy of the active document, wrapped in a ZIP archive, to a recipient.",,
cmd.sendByEmail,"Send by E-mail...","Email a copy of the active document to a recipient.",,
cmd.order.background,"Send to Back","Move the selected object to the back.",,
cmd.sessionsList,Sessions,,,
cmd.pdfNamedDestsView.set,Set,"Assign the current view as the target.",,
cmd.bookmarksView.setDest,"Set Destination","Assign the current view as the new destination for the bookmark.",,
cmd.tool.editFields.setAsRequired,"Set as Required Field","Marks the selected fields as a required field.",,
cmd.tool.editContent.shapes,Shapes,"Select and edit only paths and shadings.",,
cmd.selectPathItems,Shapes,"Select shape items of the current document.",,
sp.cmd.share_point,SharePoint,"Work with documents in SharePoint",,
cmd.comments.showAll,"Show All Comments","Show all comments in the document.",Ctrl+8,
cmd.layersView.showAll,"Show All Layers","Activate all of the modifiable layers.",,
cmd.commentsView.show.authors,"Show Authors","Show comment authors.",,
cmd.tool.editFields.showCalcOrdIdx,"Show Calculation Order Indicies","Show or hide the calculation order indicies of all fields.",,
cmd.commentsView.show.colors,"Show Colors","Show comment colors.",,
cmd.comments.showList,"Show Comments List","Show/Hide the Comments pane.
The Comments pane shows all comments in the document. They can be grouped according to various criteria.
",,
cmd.commentsView.showHiddenComments,"Show Comments with Hidden Flag",,,
cmd.view.layout.showCover,"Show Cover Page in Two Pages View","Display the first page of a document separately in Two Pages views.",,
cmd.view.portfolio.cover,"Show Cover Sheet","Display the cover sheet for the portfolio.",,
cmd.commentsView.show.dates,"Show Dates","Show modification and creation dates of all comments.",,
cmd.digisig.summary,"Show Digital Signature Summary...","Show the details of the selected digital signature.",,
cmd.fieldsView.showFullNames,"Show Full Field Names",,,
cmd.view.layout.showGaps,"Show Gaps Between Pages","Show/Hide a gap between the pages.",Ctrl+Shift+G,
cmd.view.showGrid,"Show Grid","Show a grid, on the background of the page, for perfect object placement.",Ctrl+',
cmd.view.showGuides,"Show Guides","Show the guides for lining up objects, such as annotations. To create a guide, drag from the horizontal or vertical ruler and drop the guide at the desired location on the page.",Ctrl+;,
cmd.view.portfolio.itemInfo,"Show Information...","Show information about selected item in Portfolio.",,
cmd.jsConsole.show,"Show JavaScript Console...","Show JavaScript Console.",Ctrl+J,
cmd.snapshot.showMeasurements,"Show Measurements","Shows current measurements of the page rectangle selection.",,
cmd.view.pageMeasureInfo.XY,"Show Mouse Cursor Coordinates","Show/Hide the [X,Y]-coordinates of the mouse cursor relatively to the corresponding page.",,
cmd.view.portfolio.navigator,"Show Navigator","Show the portfolio navigator.",,
cmd.loupeView.showBoxes,"Show Page Boxes","Displays Crop Box, Art Box, Trim Box and Bleed Box in the Loupe View.
",,
cmd.loupeView.showGuides,"Show Page Guides","Displays page Guide Lines in the Loupe View.
",,
cmd.view.showPageSizePopup,"Show Page Size Pop-Up","Show page size pop-up, in bottom-left corner of the page view.",,
cmd.view.showPageMeasureInfo,"Show Page Size/Position","Show/Hide current page size and [X,Y]-coordinates of the mouse cursor.",,
cmd.view.pageMeasureInfo.WH,"Show Page Width/Height","Show/Hide the width and height of page under the mouse cursor.",,
cmd.document.showProblems,"Show Problem Details...","Shows specific details of any errors found in the document's structure.",,
cmd.view.showRulers,"Show Rulers","Show the horizontal and vertical rulers, which can be used to check the size of objects in a document.
The units of measurement can be changed from within the Measurement section of the Preferences.",Ctrl+R,
cmd.commentsView.show.states,"Show Statuses","Show comment statuses.",,
cmd.commentsView.show.subjects,"Show Subjects","Show comment subjects.",,
cmd.tool.editFields.showTabNumbers,"Show Tab Numbers","Show or hide the tab order number of all fields.",,
cmd.commentsView.show.text,"Show Text","Show comment text.",,
cmd.view.pageMeasureInfo.units,"Show Units","Show/Hide measurement units.",,
cmd.bookmarksView.showIcons,"Show/Hide Icons","Show/Hide bookmark icons.",,
cmd.textStyle.sizeOut,"Shrink Font","Make the text smaller.",,
cmd.digisig.sign,"Sign Digital Signature Field","Sign the selected signature field.",,
cmd.document.signatures.sign,"Sign Document...","Get existing or create new unsigned signature field and sign it. If the document has more than one unsigned signature field, you have to choose manually which field to sign.",,
cmd.view.signatures,Signatures,"Show/Hide the Signatures pane.
The Signatures pane shows information about document certification, digital signatures, and a history of document changes.
",,
cmd.forms.highlight.signature,Signatures,"Highlight digital signatures.",,
cmd.view.layout.onePage,"Single Page","Show only a single page at a time.",,
cmd.bookmarksView.textSize.small,Small,,,
cmd.view.snap.toGrid,"Snap to Grid",,,
cmd.view.snap.toGuides,"Snap to Guides",,,
cmd.view.snap.toObjects,"Snap to Objects",,,
cmd.tool.snapshot,"Snapshot Tool","Marquee select a page area to copy content, as an image, to the Clipboard.",,
cmd.window.sortAllDocTabsAbc,"Sort All Document Tabs Alphabetically","Arrange all opened documents into a single alphabetically ordered tab group.",,
cmd.bp.sort,"Sort Bookmarks...","Sorts the bookmarks by the given criteria.",,
cmd.bp.sortPagesByBookmarks,"Sort Pages by Bookmarks","Sorts pages of the document based on the Bookmarks order.",,
cmd.tool.annot.sound,"Sound Tool","Record audio, or add it from a file, and pin to the page.
Use Properties Pane to set the properties.
",,
cmd.view.spellCheck,"Spell Check","Show/Hide the Spell Check pane.
The Spell Check pane is used to check the spelling of the current document.
",,
cmd.document.spellCheckAndRepl.forward,"Spell Check","Proceed to the next misspelling.",F7,
cmd.window.split,Split,"Split the view of the active document into two parts.",,
cmd.document.split,"Split Document...","Splits document by the selected method.",,
cmd.document.splitPages,"Split Pages...","Split pages in the active document.",,
cmd.window.split.spreadsheet,"Spreadsheet Split","Split the view of the active document into four parts, vertically and horizontaly.",,
cmd.tool.annot.stamp,"Stamp Tool","Add a stamp.",,
cmd.stampsList,Stamps,,,
cmd.view.stamps,"Stamps Palette","Show/Hide the Stamps Palette.
The Stamp Palette contains a list of available stamps, organized by collections, and provides functionality to manage them.
",,
cmd.view.layout.standard,"Standard Layout","Show pages in top-to-bottom order.",,
cmd.view.toolbar.standard,"Standard Toolbar","Show/Hide the Standard toolbar.
",,
cmd.tool.annot.stickyNote,"Sticky Note Tool","Add a sticky note annotation.
Use Properties Pane to set the properties.
",,
speech.cmd.stop,"Stop Reading",,,
cmd.addAnnotsByFindResult.strikeout,"Strikeout Find Results","Place a strikeout annotation over occurrences of the search terms, found on the pages.",,
cmd.addAnnotsBySearchResult.strikeout,"Strikeout Search Results","Place a strikeout annotation over occurrences of the search terms, found on the pages.",,
cmd.tool.annot.strikeout,"Strikeout Text Tool","Select and strikeout base content text.
Use Properties pane to set properties.
",,
cmd.addAnnotBySelect.strikeout,"Strikeout result","Place a strikeout annotation over highlighted occurrence of the search term.",,
cmd.textStyle.strikeOut,Strikethrough,"Draw a line through the middle of the selected text.",Ctrl+Alt+S,
cmd.strokeOpacity,"Stroke Opacity","Change the transparency of the object's border.",,
cmd.textStyle.subScript,Subscript,"Create small letters below the text baseline.",,
cmd.comments.summarize,"Summarize Comments...","Create a summary of all the comments in the document. The summary can be presented in various formats.",,
cmd.textStyle.superScript,Superscript,"Create small letters above the line of text.",,
cmd.help.support,"Support Forum","Open the support forum home page in browser.",,
cmd.document.swapPages,"Swap Pages...","Swap two pages of the active document.",,
cmd.view.ribbonClassicUI,"Switch to Classic Toolbars","Switch to Classic Toolbars style.",,
cmd.view.touchMouseMode,"Switch to Touch-optimized UI","Enlarged items in toolbars, menus etc. Optimized for use with touch.",,
cmd.panZoomView.snapshot,"Take Snapshot of Current View","Copy the view currently displayed in the Pan and Zoom rectangle, to the Clipboard.",,
cmd.testCreatePortfolio,"Test Create New Portfolio",,,
cmd.tool.editContent.text,Text,"Select and edit only text.",,
cmd.selectTextItems,Text,"Select text items of the current document.",,
cmd.tool.annot.textBox,"Text Box Tool","Add a text box annotation.
Use Properties Pane to set the properties.
",,
cmd.forms.highlight.textBox,"Text Boxes","Highlight text fields.",,
cmd.tool.editFields.mode.text,"Text Field","Add a new text field.",,
cmd.view.thinLines,"Thin Lines","Display all lines 1 pixel thick.",Ctrl+5,
cmd.view.pageThumbnails,Thumbnails,"Show/Hide the Page Thumbnails pane.
The Page Thumbnails pane displays miniature previews of pages in the document. You can jump quickly to a selected page.
",Ctrl+T,
cmd.document.signatures.timestamp,Timestamp...,"Time stamp a document using a timestamp server.",,
cmd.view.toggleAllCmdPanes,"Toggle All Command Panes","Show/Hide all toolbars and menus.",Ctrl+F8,
cmd.view.toggleAllCmdBars,"Toggle All Toolbars","Show/Hide all toolbars.",F8,
cmd.tool.loupe.trackMouse,"Track Mouse","The Loupe tool follows the mouse pointer.",,
cmd.annot.link.toQuad,"Transform to Quadrilateral","Transform the link's shape to a quadrilateral.",,
cmd.annot.redact.toQuad,"Transform to Quadrilateral","Transform the redaction's shape to a quadrilateral.",,
cmd.annot.link.toRect,"Transform to Rectangle","Transform the link's shape to a rectangle.",,
cmd.annot.redact.toRect,"Transform to Rectangle","Transform the redaction's shape to a rectangle.",,
cmd.object.transformSelection,Transform...,"Transform the selected annotation(s), or content item(s).",,
cmd.view.showTranspGrid,"Transparency Grid",,,
cmd.view.layout.twoPages,"Two Pages","Show two pages side-by-side.",,
cmd.view.layout.twoColumns,"Two Pages Continuous","Show two pages continuously.",,
cmd.tool.annot.typeWriter,"Typewriter Tool","Add a specialized text box annotation, designed to behave like a typewriter.
Use Properties Pane to set the properties.
",,
cmd.textStyle.underline,Underline,"Underline the selected text.",Ctrl+U,
cmd.addAnnotsByFindResult.underline,"Underline Find Results","Place an underline annotation over occurrences of the search terms, found on the pages.",,
cmd.addAnnotsBySearchResult.underline,"Underline Search Results","Place an underline annotation over occurrences of the search terms, found on the pages.",,
cmd.textsel.addUnderline,"Underline Text","Underline the selected block of text.",,
cmd.tool.annot.underline,"Underline Text Tool","Select and underline base content text.
Use Properties pane to set properties.
",,
cmd.addAnnotBySelect.underline,"Underline result","Place an underline annotation over highlighted occurrence of the search term.",,
cmd.undo,Undo,"Undo the last action.",Ctrl+Z,
cmd.ungroup,Ungroup,"Ungroup the selected objects.",,
cmd.textBlock.unlink,"Unlink Text Block","Unlink Text Block.",,
cmd.bookmarksView.useInheritedZoom,"Use Inherited Zoom","Use zoom level inherited from the document when creating new bookmarks or setting the bookmark's destination.",,
cmd.pdfNamedDestsView.useInheritedZoom,"Use Inherited Zoom","Use zoom level inherited from the document when creating new or setting the named destination.",,
cmd.bp.addAGBLevel,"Use Selected Text Style in Bookmark Generation...",,,
cmd.document.signatures.validateAll,"Validate All Signatures","Validate all signatures in the document.",,
cmd.bp.validate,"Validate Bookmarks...","Checks bookmarks for validity by the given criteria.",,
cmd.digisig.validate,"Validate Digital Signature(s)","Validate selected digital signature.",,
cmd.window.split.vert,"Vertical Split","Split the view of the active document into two parts, vertically.",,
cmd.mediaAnnot.startViewFloating,"View in Floating Window","View the media annotation in a floating window.",,
cmd.view.portfolio.welcomePage,"Welcome Page","Open the Welcome page in Portfolio.",,
cmd.newDocBlank,"With Blank Pages...","Create a new document with blank pages.",Ctrl+N,
cmd.document.wordCount,"Word Count","Show the number of Words, Lines and Characters in the current document.",,
cmd.bookmarksView.wrapTitles,"Wrap Long Bookmarks","Spread long titles over multiple lines.",,
cmd.linksView.wrapTitles,"Wrap Long Titles","Spread long titles over multiple lines.",,
cmd.selectXFormItems,XForms,"Select XForms of the current document.",,
{A5B90FFC-722F-4FA3-BBF842241849CDD7},Yellow,"Custom Style",,
{CA3A9343-2531-4A0F-AE8DF945E7043A6E},Yellow,"Custom Style",,
{26D29C8A-9996-4B49-BEF8E7EA605F1DB3},Yellow,"Custom Style",,
{C1705DD6-8D17-40F0-806E143A1877668C},Yellow,"Custom Style",,
{723EAAF8-03B9-43DE-961D6ABBD519E8B8},Yellow,"Custom Style",,
{712FFD0F-5734-4D6B-8B1E71C3A1E6EE69},Yellow,"Custom Style",,
{B3DBFE7D-82A4-4CC8-B77427E30A1E3DE8},Yellow,"Custom Style",,
{C67F72DD-37A8-48A9-91E8DF22704D00E4},Yellow,"Custom Style",,
{920D2153-1E69-4236-B89E1E467E36AA62},Yellow,"Custom Style",,
{D6A0ABF5-96A5-4EAA-9416F29D28760550},Yellow,"Custom Style",,
{E4257DC2-290A-4E66-92DA2E8E77C59A58},Yellow,"Custom Style",,
{E2B4D346-8ED4-4718-970B68A5F6994725},Yellow,"Custom Style",,
{FBA0B7DD-1F9F-4F2C-838B3BAE6864A191},Yellow,"Custom Style",,
{D820673A-AF32-499D-93899678343E7130},Yellow,"Custom Style",,
{636DD96A-EACA-4A67-84A84E3C8EB3FAB4},Yellow,"Custom Style",,
{3F0034DE-9F6C-4E1D-9F4A-C5270B59DD3C},Yellow,"Custom Style",,
{890F2037-2FAC-45B3-A97705FD00E6BF65},Yellow,"Custom Style",,
{9AE3A4F8-D2E5-4364-8C703B1ABD09F43C},Yellow,"Custom Style",,
{36A430BF-47BC-4302-A5972EE374BAE03F},"Yellow Attachment","Custom Style",,
{8036214A-27E6-47F4-812D-B7E4375B24E3},"Yellow Cloudy","Custom Style",,
{DFB28C84-42E1-42C3-A14B-6223239DE272},"Yellow Cloudy","Custom Style",,
{65DA68C9-3A27-4D63-BFB44672E04F5DE6},"Yellow Ear","Custom Style",,
{975C618D-351A-48CB-AE08-6FAD23DC50A7},"Yellow Inner","Custom Style",,
{53D3B783-24AC-4221-A2EC6F52AFBA11B1},"Yellow Marker","Custom Style",,
{28AF6A8D-4CC2-422F-9B0F7D8FED8A3C55},"Yellow Microphone","Custom Style",,
{5D388CAC-BE82-4FF1-9B0914C983883CBC},"Yellow Paperclip","Custom Style",,
{019E777E-D499-4447-910DEBA08FE7EC93},"Yellow Sound","Custom Style",,
{CE394953-6A4B-4B1E-AC4003D3688DF576},"Yellow Squiggly","Custom Style",,
{9FB247C7-5B70-4A7D-946CD679109B02B8},"Yellow Stroke","Custom Style",,
{8E06CF49-AABE-4978-AF98BD4A07B09959},"Yellow Stroke","Custom Style",,
{5B3CD841-C8BE-4CA9-A4CAEB67F23DF84C},"Yellow Stroke","Custom Style",,
{6E54FF2B-6A63-4208-B47434978C49BFE6},"Yellow Stroke","Custom Style",,
{542E5353-F962-4CFE-AF01683584256E7A},"Yellow Stroke","Custom Style",,
{A80BFC4F-769D-4E2A-819F3586C8B327F0},"Yellow Tag","Custom Style",,
cmd.zoomSlider,Zoom,"Zoom Slider",,
cmd.zoomIn,"Zoom In","Zoom in on the page.","Ctrl+""Num +""",Ctrl+=
cmd.stampsView.zoomIn,"Zoom In","Zoom in on the preview.",,
cmd.loupeView.zoomIn,"Zoom In","Increase the Loupe magnification level (shrink Loupe rectangle).","Ctrl+""Num +""",
cmd.thumbnailsView.zoomIn,"Zoom In","Zoom In pages thumbnails.","""Num +""",
cmd.tool.zoom,"Zoom In/Out Tool","Zoom in on the document by clicking, or click and drag to select an area to zoom in on.
Hold Ctrl and click to zoom out.
",,
cmd.zoomOut,"Zoom Out","Zoom out on the page.",Ctrl+-,"Ctrl+""Num -"""
cmd.loupeView.zoomOut,"Zoom Out","Decrease the Loupe magnification level (expand Loupe rectangle).","Ctrl+""Num -""",
cmd.stampsView.zoomOut,"Zoom Out","Zoom out on the preview.",,
cmd.thumbnailsView.zoomOut,"Zoom Out","Zoom Out pages thumbnails.","""Num -""",
cmd.zoomSel,"Zoom To Selection","Zoom to current selection on the page.",Ctrl+Shift+1,
cmd.zoom.to.level,"Zoom To...","Set a custom zoom level for the document.",Ctrl+Shift+M,
cmd.view.toolbar.zoom,"Zoom Toolbar","Show/Hide the Zoom toolbar.
",,
